full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
WorldFlowAI/everything-claude-code,3151,3151,490,8,8,3,https://github.com/WorldFlowAI/everything-claude-code
lorryjovens-hub/claude-code-rust,1659,1659,639,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
disler/claude-code-hooks-mastery,3923,3923,636,0,0,0,https://github.com/disler/claude-code-hooks-mastery
alejandrobalderas/claude-code-from-source,2812,2812,758,4,4,0,https://github.com/alejandrobalderas/claude-code-from-source
777genius/claude-code-source-code,933,933,1089,0,0,0,https://github.com/777genius/claude-code-source-code
fazxes/Claude-code,241,241,218,0,0,0,https://github.com/fazxes/Claude-code
ding113/claude-code-hub,3376,3376,391,0,0,0,https://github.com/ding113/claude-code-hub
overwirehq/claude-code-telegram,2785,2785,419,0,0,0,https://github.com/overwirehq/claude-code-telegram
fuergaosi233/claude-code-proxy,2791,2791,415,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
SeemSeam/claude_codex_bridge,3510,3510,341,0,0,0,https://github.com/SeemSeam/claude_codex_bridge
Yuyz0112/claude-code-reverse,2433,2433,412,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5223,5223,199,0,0,0,https://github.com/kodu-ai/claude-coder
Windy3f3f3f3f/claude-code-from-scratch,2691,2691,543,1,1,1,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
Cranot/claude-code-guide,2866,2866,317,0,0,0,https://github.com/Cranot/claude-code-guide
luyao618/Claude-Code-Source-Study,1707,1707,577,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,3120,3120,302,0,0,1,https://github.com/Chachamaru127/claude-code-harness
affaan-m/ECC,261350,261350,39124,98,98,15,https://github.com/affaan-m/ECC
https-deeplearning-ai/sc-claude-code-files,549,549,839,0,0,-1,https://github.com/https-deeplearning-ai/sc-claude-code-files
asgeirtj/system_prompts_leaks,67393,67393,10952,7,7,2,https://github.com/asgeirtj/system_prompts_leaks
krusemediallc/arcads-claude-code,1504,1504,368,0,0,0,https://github.com/krusemediallc/arcads-claude-code
repowise-dev/claude-code-prompts,1202,1202,396,0,0,0,https://github.com/repowise-dev/claude-code-prompts
huangjia2019/claude-code-engineering,1117,1117,393,1,1,0,https://github.com/huangjia2019/claude-code-engineering
jqueryscript/awesome-claude-code,517,517,579,0,0,0,https://github.com/jqueryscript/awesome-claude-code
anthropics/claude-code-base-action,986,986,613,0,0,1,https://github.com/anthropics/claude-code-base-action
AprilNEA/claude-code-source,391,391,602,0,0,0,https://github.com/AprilNEA/claude-code-source
JrCx7scC/claude-code-source,376,376,538,0,0,0,https://github.com/JrCx7scC/claude-code-source
guanshan/ClaudeCode,61,61,211,0,0,0,https://github.com/guanshan/ClaudeCode
Pimzino/claude-code-spec-workflow,3857,3857,279,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
ccplugins/awesome-claude-code-plugins,946,946,502,0,0,0,https://github.com/ccplugins/awesome-claude-code-plugins
OrcaWhisper/Claude-Code,97,97,180,0,0,1,https://github.com/OrcaWhisper/Claude-Code
digitalsamba/claude-code-video-toolkit,2094,2094,359,0,0,0,https://github.com/digitalsamba/claude-code-video-toolkit
disler/pi-vs-claude-code,1685,1685,385,0,0,-1,https://github.com/disler/pi-vs-claude-code
multica-ai/andrej-karpathy-skills,213791,213791,21632,38,38,2,https://github.com/multica-ai/andrej-karpathy-skills
edmund-io/edmunds-claude-code,1508,1508,281,0,0,0,https://github.com/edmund-io/edmunds-claude-code
VILA-Lab/Dive-into-Claude-Code,2116,2116,320,0,0,0,https://github.com/VILA-Lab/Dive-into-Claude-Code
Yeachan-Heo/oh-my-claudecode,39233,39233,3509,3,3,1,https://github.com/Yeachan-Heo/oh-my-claudecode
feiskyer/claude-code-settings,1653,1653,238,0,0,0,https://github.com/feiskyer/claude-code-settings
AICoderTudou/claude-code-tudou,494,494,394,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
xu-xiang/everything-claude-code-zh,1952,1952,318,2,2,0,https://github.com/xu-xiang/everything-claude-code-zh
KPR111/Claude-Code,18,18,325,0,0,0,https://github.com/KPR111/Claude-Code
andrew-kramer-inno/claude-code-source-build,596,596,507,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
anthropics/skills,176936,176936,20957,21,21,8,https://github.com/anthropics/skills
darcyegb/ClaudeCodeAgents,765,765,69,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
centminmod/my-claude-code-setup,2635,2635,247,0,0,0,https://github.com/centminmod/my-claude-code-setup
simonw/claude-code-transcripts,1690,1690,201,0,0,0,https://github.com/simonw/claude-code-transcripts
