full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/skills,107555,107555,11934,105,105,30,https://github.com/anthropics/skills
kodu-ai/claude-coder,5287,5287,198,-1,-1,0,https://github.com/kodu-ai/claude-coder
Maciek-roboblog/Claude-Code-Usage-Monitor,7240,7240,353,7,7,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2315,2315,383,2,2,-1,https://github.com/Yuyz0112/claude-code-reverse
ponponon/claude_code_src,408,408,774,205,205,374,https://github.com/ponponon/claude_code_src
fuergaosi233/claude-code-proxy,2295,2295,323,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4088,4088,344,4,4,1,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2299,2299,305,3,3,1,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2644,2644,379,17,17,3,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Cranot/claude-code-guide,2542,2542,268,0,0,1,https://github.com/Cranot/claude-code-guide
Leonxlnx/claude-code-system-prompts,1084,1084,547,383,383,177,https://github.com/Leonxlnx/claude-code-system-prompts
anthropics/claude-code-base-action,743,743,590,0,0,1,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2233,2233,253,1,1,0,https://github.com/ding113/claude-code-hub
https-deeplearning-ai/sc-claude-code-files,469,469,639,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
router-for-me/CLIProxyAPI,21711,21711,3574,37,37,1,https://github.com/router-for-me/CLIProxyAPI
edmund-io/edmunds-claude-code,1375,1375,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
obra/superpowers,128141,128141,10482,355,355,40,https://github.com/obra/superpowers
Pimzino/claude-code-spec-workflow,3596,3596,252,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
eyaltoledano/claude-task-master,26329,26329,2470,1,1,2,https://github.com/eyaltoledano/claude-task-master
wshobson/agents,32666,32666,3564,19,19,8,https://github.com/wshobson/agents
wanshuiyin/Auto-claude-code-research-in-sleep,5017,5017,413,13,13,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
anthropics/claude-plugins-official,15577,15577,1698,28,28,4,https://github.com/anthropics/claude-plugins-official
VineeTagarwaL-code/claude-code,158,158,158,36,36,38,https://github.com/VineeTagarwaL-code/claude-code
zhukunpenglinyutong/idea-claude-code-gui,2269,2269,263,2,2,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
snarktank/ralph,14159,14159,1441,9,9,0,https://github.com/snarktank/ralph
zstmfhy/Claude-code,105,105,188,27,27,34,https://github.com/zstmfhy/Claude-code
tvytlx/claude-code-deep-dive,1033,1033,378,212,212,83,https://github.com/tvytlx/claude-code-deep-dive
bfly123/claude_code_bridge,2009,2009,184,2,2,1,https://github.com/bfly123/claude_code_bridge
ghuntley/claude-code-source-code-deobfuscation,924,924,528,6,6,19,https://github.com/ghuntley/claude-code-source-code-deobfuscation
siteboon/claudecodeui,9215,9215,1182,15,15,0,https://github.com/siteboon/claudecodeui
feiskyer/claude-code-settings,1392,1392,207,1,1,0,https://github.com/feiskyer/claude-code-settings
carlvellotti/claude-code-pm-course,1711,1711,264,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,988,988,227,1,1,0,https://github.com/sugyan/claude-code-webui
centminmod/my-claude-code-setup,2138,2138,213,1,1,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1508,1508,239,2,2,0,https://github.com/lst97/claude-code-sub-agents
lowcortisolprogrammer/claude-code,135,135,124,25,25,19,https://github.com/lowcortisolprogrammer/claude-code
darcyegb/ClaudeCodeAgents,636,636,56,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
Alishahryar1/free-claude-code,1291,1291,170,9,9,3,https://github.com/Alishahryar1/free-claude-code
alirezarezvani/claude-skills,8396,8396,1001,47,47,11,https://github.com/alirezarezvani/claude-skills
slopus/happy,16804,16804,1337,6,6,2,https://github.com/slopus/happy
rohitg00/awesome-claude-code-toolkit,978,978,253,4,4,2,https://github.com/rohitg00/awesome-claude-code-toolkit
nishimoto265/Claude-Code-Communication,495,495,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
Yeachan-Heo/oh-my-claudecode,19012,19012,1415,426,426,67,https://github.com/Yeachan-Heo/oh-my-claudecode
freestylefly/claude-code,78,78,141,19,19,31,https://github.com/freestylefly/claude-code
farion1231/cc-switch,36359,36359,2168,25,25,0,https://github.com/farion1231/cc-switch
simonw/claude-code-transcripts,1370,1370,144,0,0,0,https://github.com/simonw/claude-code-transcripts
trailofbits/claude-code-config,1728,1728,132,4,4,0,https://github.com/trailofbits/claude-code-config
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2549,2549,431,15,15,6,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
catlog22/Claude-Code-Workflow,1637,1637,137,5,5,0,https://github.com/catlog22/Claude-Code-Workflow
steipete/claude-code-mcp,1212,1212,150,1,1,0,https://github.com/steipete/claude-code-mcp
Njengah/claude-code-cheat-sheet,1508,1508,191,3,3,1,https://github.com/Njengah/claude-code-cheat-sheet
jeremylongshore/claude-code-plugins-plus-skills,1784,1784,237,9,9,2,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
rizethereum/claude-code-requirements-builder,1760,1760,174,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
andrepimenta/claude-code-chat,1013,1013,156,0,0,0,https://github.com/andrepimenta/claude-code-chat
disler/claude-code-hooks-multi-agent-observability,1318,1318,363,0,0,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
JessyTsui/Claude-Code-Remote,1192,1192,128,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
jarrodwatts/claude-hud,15743,15743,657,34,34,1,https://github.com/jarrodwatts/claude-hud
0xfurai/claude-code-subagents,806,806,145,0,0,1,https://github.com/0xfurai/claude-code-subagents
ComposioHQ/awesome-claude-skills,49891,49891,5174,66,66,14,https://github.com/ComposioHQ/awesome-claude-skills
KPR111/Claude-Code,7,7,317,7,7,317,https://github.com/KPR111/Claude-Code
jarrodwatts/claude-code-config,1005,1005,126,0,0,0,https://github.com/jarrodwatts/claude-code-config
pchalasani/claude-code-tools,1646,1646,103,0,0,0,https://github.com/pchalasani/claude-code-tools
peterkrueck/Claude-Code-Development-Kit,1335,1335,152,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
alirezarezvani/claude-code-tresor,660,660,146,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
d-kimuson/claude-code-viewer,1026,1026,119,1,1,0,https://github.com/d-kimuson/claude-code-viewer
